col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69
,A,2020-06-29,,C,,0.7991201958137654,,2022-10-31,0.0468543507501385,C,2021-02-09,,B,2022-10-10,-0.7188330452869671,D,,,,,-1.9122668493224488,D,2021-12-15,-0.1531366335130451,B,,2.2879060563778357,B,2021-11-09,0.9577231829365036,,2020-06-21,-0.615762610932217,C,2020-10-12,,A,2022-02-22,-0.7920234341612586,B,,2.242911618552575,,,2.263612684437861,B,,1.1718096679213008,,2021-07-02,,D,2020-10-09,1.1374986871854789,A,2022-08-12,1.9968572390661896,A,,,,2020-06-15,0.8877039590948076,B,2021-10-10,,,,
0.4657147868062246,A,2021-10-06,,A,,,B,2020-11-22,,,2022-12-28,,,2020-03-24,-0.1673386770059107,,2020-07-25,-1.065147783032029,B,,,C,,,,,-0.4608327491837228,A,2021-01-31,,D,2020-12-16,,D,2020-05-29,,B,,-0.2203847510976038,A,2020-11-04,0.8927117275698679,,2021-09-02,-0.5026618508138399,,2022-04-21,,A,,1.49675044610446,B,,,,2022-11-22,,,2022-07-05,0.3090836704964261,,,-0.3880350868047514,,2021-10-16,,A,,0.2425158805788808
,C,,,,2021-07-06,-1.6141963765687457,,2022-05-01,-1.17037384845472,D,,,,,1.8794634498130176,C,,,,2021-10-03,,D,,,B,2020-04-02,,,2021-09-27,,,2021-01-04,-2.373507652878404,D,2022-08-02,,A,2021-02-03,,B,2020-06-26,-0.2316687327044042,,2021-01-11,-0.6108032948907197,C,,-0.0662482212754183,D,2021-02-10,-0.9063080754672136,C,2020-06-29,0.785551035970493,,,-1.592393484613254,,,1.299665472253458,B,,1.2466366643622613,C,,-1.2159665423143688,,,0.5903714379151315
1.1744757020955512,B,2021-10-24,1.617360987805926,C,,,D,2022-04-06,,A,,,,2021-12-31,-0.8103211991681312,A,2020-05-05,,B,2022-10-08,,D,2020-12-15,,,,0.7736290895579103,D,2022-11-03,-0.1058347633847942,,2021-04-03,-1.207797965862794,D,,-1.4568050106119286,D,2020-01-04,1.1891842212514978,C,2021-11-19,,D,2021-08-24,0.2481025482260725,A,2022-10-21,-0.1977433207855843,B,2021-08-30,,A,,0.6136823084423769,,,0.8166969895208875,,,1.8420013234924688,A,,,,,,,2020-02-02,
,B,2020-08-25,,C,,0.4400174110730359,A,2020-07-07,,,,-0.0610088610251495,A,2022-09-20,,A,,,,,-1.4786411399149595,,,-0.7313579470375692,D,2021-02-25,,A,2020-12-05,-1.15817919432614,A,2021-12-16,0.154856751143215,,,0.2552411356522489,C,2021-02-04,,,2022-06-05,9.073749312430516,D,,0.1121698206693131,B,2022-05-28,-0.727689599936261,D,,,B,,1.2794716539273514,D,,,D,,,D,,-0.4339534212233328,,2021-06-22,,B,2021-12-18,-1.1725543325822387
1.0967749006352447,B,,,A,2020-06-27,-0.9583141012744688,C,,,,2020-07-09,-1.0035082029764433,,2022-07-26,-1.879393511808108,,2020-01-15,1.0438981028927228,,2022-03-16,-2.202211450760444,,2022-02-28,1.2950248746699056,B,,-2.9368478440441748,B,,-1.948962142512319,D,,,D,2022-11-11,-1.1520128741128328,B,2021-02-18,1.07389270854632,A,,,,,0.9397530897256776,,2021-05-19,,D,,0.5875657126403737,C,,0.3774848949182666,A,,-0.1294570378469668,B,,-0.707746074767713,A,2020-03-31,-0.7898111462067846,,2021-01-19,1.1383093827197115,,2020-01-14,1.0812268770565163
,,2022-11-19,,,2021-01-18,,B,,0.7767694327982739,B,2022-08-17,-0.5770115985319707,B,2022-10-06,0.2028948172947224,D,,,,2021-09-03,-0.9268581418061872,,,,C,,-0.4284530458510625,B,,-0.989537901981588,,,,A,2021-10-05,-0.6781162980519304,,,,A,,-0.1433629009928506,B,2022-07-07,-2.852153249450567,,2020-02-23,,C,,0.3148224725830481,B,2020-01-19,,,2020-04-11,,A,2020-01-10,0.4829457954823277,B,2021-05-01,,C,,-0.3907112277456283,C,,-0.6866495871376135
,A,,,C,,1.1827447107327311,B,,-0.2577818538398375,A,2020-07-18,-2.1639967851162005,D,2020-08-18,,A,2020-07-17,1.2399976431341635,D,2022-07-19,-1.382757678344008,,,-1.721243265560839,,,,C,2020-10-25,,D,,-0.0758597507437487,,2020-08-29,1.0294636075489128,,2021-08-25,,B,2020-12-01,,,2021-08-09,,,,0.5399173993216777,A,2020-11-23,-1.2111107493209308,B,2021-07-26,-0.5128730700462918,A,,,B,2022-12-21,,,2022-04-09,1.248581102616804,C,,-0.2098568154593666,B,,
,,2022-08-04,-0.8541237049382685,,,-0.5306050140229068,C,,-2.305831020526026,,2022-07-22,1.156256990765964,C,2020-10-30,0.5788498513545122,B,,0.7735460413060821,A,2022-10-07,,B,,0.8902299174930499,C,2021-05-07,,,,-0.4228669655695884,C,2022-03-16,0.1526384940720736,A,,,,2021-09-10,0.1221775992102442,,2021-12-31,-0.0457147010819086,B,2020-01-01,-0.4294968832334804,A,2020-07-26,,C,,1.704000731410641,B,2022-09-14,,C,2022-06-27,0.8008301851972109,B,,-1.4098229082219735,B,,,D,2022-10-22,0.2284294012135524,C,,0.2619146305482299
,,2022-04-26,,,2022-11-15,,B,2021-11-09,0.6753812686045719,,,-0.7281736153869135,C,2020-09-10,0.6308127879517889,B,2022-12-05,-0.1618916741301667,D,2020-09-05,1.9678260814904849,,,,A,2021-11-08,,C,2020-05-02,-0.2855020513154822,A,2022-01-19,,A,,,,,-0.6787379269609728,A,2021-06-09,,,,,,,0.4047226968055213,B,2022-10-09,,,,,,2022-12-01,1.2888842702127343,,,,B,2021-12-20,0.5006799811080047,A,2022-09-01,0.4979649689316279,,,
